customer_id,customer_name,rebate_code,rebate_amount_eur,period,notes
00001,Filler Customer 001,FB-001,105.00,2025-Q1,Deterministic filler row
00002,Filler Customer 002,FB-002,110.00,2025-Q1,Deterministic filler row
00003,Filler Customer 003,FB-003,115.00,2025-Q1,Deterministic filler row
00004,Filler Customer 004,FB-004,120.00,2025-Q1,Deterministic filler row
00005,Filler Customer 005,FB-005,125.00,2025-Q1,Deterministic filler row
00006,Filler Customer 006,FB-006,130.00,2025-Q1,Deterministic filler row
00007,Filler Customer 007,FB-007,100.00,2025-Q1,Deterministic filler row
00008,Filler Customer 008,FB-008,105.00,2025-Q1,Deterministic filler row
00009,Filler Customer 009,FB-009,110.00,2025-Q1,Deterministic filler row
00010,Filler Customer 010,FB-010,115.00,2025-Q1,Deterministic filler row
00011,Filler Customer 011,FB-011,120.00,2025-Q1,Deterministic filler row
00012,Filler Customer 012,FB-012,125.00,2025-Q1,Deterministic filler row
00013,Filler Customer 013,FB-013,130.00,2025-Q1,Deterministic filler row
00014,Filler Customer 014,FB-014,100.00,2025-Q1,Deterministic filler row
00015,Filler Customer 015,FB-015,105.00,2025-Q1,Deterministic filler row
00016,Filler Customer 016,FB-016,110.00,2025-Q1,Deterministic filler row
00017,Filler Customer 017,FB-017,115.00,2025-Q1,Deterministic filler row
00018,Filler Customer 018,FB-018,120.00,2025-Q1,Deterministic filler row
00019,Filler Customer 019,FB-019,125.00,2025-Q1,Deterministic filler row
00020,Filler Customer 020,FB-020,130.00,2025-Q1,Deterministic filler row
00021,Filler Customer 021,FB-021,100.00,2025-Q1,Deterministic filler row
00022,Filler Customer 022,FB-022,105.00,2025-Q1,Deterministic filler row
00023,Filler Customer 023,FB-023,110.00,2025-Q1,Deterministic filler row
00024,Filler Customer 024,FB-024,115.00,2025-Q1,Deterministic filler row
00025,Filler Customer 025,FB-025,120.00,2025-Q1,Deterministic filler row
00026,Filler Customer 026,FB-026,125.00,2025-Q1,Deterministic filler row
00027,Filler Customer 027,FB-027,130.00,2025-Q1,Deterministic filler row
00028,Filler Customer 028,FB-028,100.00,2025-Q1,Deterministic filler row
00029,Filler Customer 029,FB-029,105.00,2025-Q1,Deterministic filler row
00030,Filler Customer 030,FB-030,110.00,2025-Q1,Deterministic filler row
00031,Filler Customer 031,FB-031,115.00,2025-Q1,Deterministic filler row
00032,Filler Customer 032,FB-032,120.00,2025-Q1,Deterministic filler row
00033,Filler Customer 033,FB-033,125.00,2025-Q1,Deterministic filler row
00034,Filler Customer 034,FB-034,130.00,2025-Q1,Deterministic filler row
00035,Filler Customer 035,FB-035,100.00,2025-Q1,Deterministic filler row
00036,Filler Customer 036,FB-036,105.00,2025-Q1,Deterministic filler row
00037,Filler Customer 037,FB-037,110.00,2025-Q1,Deterministic filler row
00038,Filler Customer 038,FB-038,115.00,2025-Q1,Deterministic filler row
00039,Filler Customer 039,FB-039,120.00,2025-Q1,Deterministic filler row
00040,Filler Customer 040,FB-040,125.00,2025-Q1,Deterministic filler row
00041,Filler Customer 041,FB-041,130.00,2025-Q1,Deterministic filler row
00042,Filler Customer 042,FB-042,100.00,2025-Q1,Deterministic filler row
00043,Filler Customer 043,FB-043,105.00,2025-Q1,Deterministic filler row
00044,Filler Customer 044,FB-044,110.00,2025-Q1,Deterministic filler row
00045,Filler Customer 045,FB-045,115.00,2025-Q1,Deterministic filler row
00046,Filler Customer 046,FB-046,120.00,2025-Q1,Deterministic filler row
00047,Filler Customer 047,FB-047,125.00,2025-Q1,Deterministic filler row
